col_i,col_j,mi,mi_p,ji,ji_p,chi2,chi2_p,mi_q,ji_q,chi2_q,mi_sig,ji_sig,chi2_sig
0,1.4,0.33240770763171074,1.999960000799984e-05,0.5714285714285714,1.999960000799984e-05,79.1110452530667,5.8715147041809655e-19,3.7499250014999705e-05,4.666573335199963e-05,2.568787683079172e-18,True,True,True
0,0.8,0.06329886661930789,9.99980000399992e-05,0.05357142857142857,0.999980000399992,15.2725046641791,9.306130283786783e-05,0.00017212770498688387,1.0,0.00015510217139644639,True,False,True
0,0.9,0.03484965645661843,0.004059918801623968,0.034482758620689655,0.999420011599768,7.957175925925926,0.0047897090429848245,0.00507489850202996,1.0,0.005985259969848276,True,False,True
1,1.1,0.08770611669883618,1.999960000799984e-05,0.23684210526315788,1.999960000799984e-05,24.080173007396596,9.240686921993205e-07,3.7499250014999705e-05,4.666573335199963e-05,1.8307021260552577e-06,True,True,True
1,0.1,0.04752669453561944,0.0019199616007679846,0.0,1.0,7.936326156665141,0.004845210451781937,0.0025199496010079796,1.0,0.005985259969848276,True,False,True
1,1.2,0.30123496440308994,1.999960000799984e-05,0.72,1.999960000799984e-05,132.37953995157383,1.2358246565813206e-30,3.7499250014999705e-05,4.666573335199963e-05,1.4417954326782075e-29,True,True,True
1,0.2,0.023035321089470064,0.018339633207335854,0.03225806451612903,0.9969800603987921,5.557049548219453,0.018406409895097283,0.021636645918767017,1.0,0.021474144877613496,True,False,True
1,0.3,0.048645778187454865,0.0018599628007439852,0.0,1.0,8.150121065375302,0.004305828640429643,0.0024721024566850434,1.0,0.005513561063964786,True,False,True
1,0.4,0.05553817775689138,0.0005999880002399952,0.0,1.0,9.49657410746484,0.002058559004164845,0.0009402797018686492,1.0,0.0029609410333877907,True,False,True
1,1.3,0.09352217071107731,1.999960000799984e-05,0.2465753424657534,1.999960000799984e-05,26.06861596333449,3.294965113083826e-07,3.7499250014999705e-05,4.666573335199963e-05,6.653294939880802e-07,True,True,True
1,0.5,0.018644713227548182,0.04303913921721565,0.02631578947368421,0.9944401111977761,4.252493838274012,0.039192736938267136,0.04859257653556606,1.0,0.044249864285140314,True,False,True
